path,organisatie,productie,seizoen,persoon,gezelschap_QID,productie_QID,kunstenpunt_ID
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Europees Festival/99-2000/Don Juan/Untitled-3(foto Alain Giebens).jpg,Europees Festival,Don Juan,1999-2000,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Fabuleus jongentheater/2000-2001/Mijn Benen/Untitled-1(foto E. Van Langenhove).jpg,Fabuleus jongentheater,Mijn Benen,2000-2001,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Fabuleus jongentheater/2000-2001/Mijn Benen/Untitled-2(foto E. Van Lnagenhove).jpg,Fabuleus jongentheater,Mijn Benen,2000-2001,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Fabuleus jongentheater/2001-2002/Antoon en mirabella/Untitled-1(foto Vera Cammaer).jpg,Fabuleus jongentheater,Antoon en mirabella,2001-2002,,Q17428187,Q57503992,436630
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Fabuleus jongentheater/2001-2002/BBB en wasverzacther/Untitled-1(foto Vera Cammaer).jpg,Fabuleus jongentheater,BBB en wasverzacther,2001-2002,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Fabuleus jongentheater/2001-2002/Mijn benen zijn al lang maar/Untitled-1(foto Vera Cammaer).jpg,Fabuleus jongentheater,Mijn benen zijn al lang maar,2001-2002,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Fabuleus jongentheater/2001-2002/The way young lovers do/Untitled-1(foto Vera Cammaer).jpg,Fabuleus jongentheater,The way young lovers do,2001-2002,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Fabuleus jongentheater/2004-2005/Instant Karma/Untitled-1(foto onbekend).jpg,Fabuleus jongentheater,Instant Karma,2004-2005,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Fabuleus jongentheater/2004-2005/Instant Karma/Untitled-2(foto onbekend).jpg,Fabuleus jongentheater,Instant Karma,2004-2005,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Fabuleus jongentheater/2004-2005/Instant Karma/Untitled-3(foto onbekend).jpg,Fabuleus jongentheater,Instant Karma,2004-2005,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Fabuleus jongentheater/2004-2005/Instant Karma/Untitled-4(foot onbekend).jpg,Fabuleus jongentheater,Instant Karma,2004-2005,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Fabuleus jongentheater/2004-2005/Johnie boy/Untitled-1(foto onbekend).jpg,Fabuleus jongentheater,Johnie boy,2004-2005,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Fabuleus jongentheater/2004-2005/Johnie boy/Untitled-2(foto onbekend).jpg,Fabuleus jongentheater,Johnie boy,2004-2005,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Fabuleus jongentheater/2004-2005/Johnie boy/Untitled-3(foto onbekend).jpg,Fabuleus jongentheater,Johnie boy,2004-2005,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Fabuleus jongentheater/2004-2005/Johnie boy/Untitled-4(foto onbekend).jpg,Fabuleus jongentheater,Johnie boy,2004-2005,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Fabuleus jongentheater/2004-2005/Johnie boy/Untitled-5(foto onbekend).jpg,Fabuleus jongentheater,Johnie boy,2004-2005,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Fabuleus jongentheater/2004-2005/Lilium/Untitled-1(foto onbekedn).jpg,Fabuleus jongentheater,Lilium,2004-2005,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Fabuleus jongentheater/2004-2005/Lilium/Untitled-2(foto onbekend).jpg,Fabuleus jongentheater,Lilium,2004-2005,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Fabuleus jongentheater/2004-2005/Lilium/Untitled-3(foto onbekend).jpg,Fabuleus jongentheater,Lilium,2004-2005,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Fabuleus jongentheater/2004-2005/Lilium/Untitled-4(foto onbekend).jpg,Fabuleus jongentheater,Lilium,2004-2005,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Fabuleus jongentheater/97-98/De uitnodering en de regel/Untitled-1(foto Vera Cammaer).jpg,Fabuleus jongentheater,De uitnodering en de regel,1997-1998,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Fabuleus jongentheater/97-98/De uitnodering en de regel/Untitled-2(foto Vera Cammaer).jpg,Fabuleus jongentheater,De uitnodering en de regel,1997-1998,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Fabuleus jongentheater/97-98/De uitnodering en de regel/Untitled-3(foto Vera Cammaer).jpg,Fabuleus jongentheater,De uitnodering en de regel,1997-1998,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Fabuleus jongentheater/98-99/Ego Sublimo/Untitled-1(foto Vera Cammaer).jpg,Fabuleus jongentheater,Ego Sublimo,1998-1999,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Fabuleus jongentheater/98-99/Ego Sublimo/Untitled-2(foto Vera Cammaer).jpg,Fabuleus jongentheater,Ego Sublimo,1998-1999,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Fabuleus jongentheater/98-99/Ego Sublimo/Untitled-3(foto Vera Cammaer).jpg,Fabuleus jongentheater,Ego Sublimo,1998-1999,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Fabuleus jongentheater/98-99/Ego Sublimo/Untitled-4(Vera Cammaer).jpg,Fabuleus jongentheater,Ego Sublimo,1998-1999,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Fabuleus jongentheater/98-99/Ego Sublimo/Untitled-5(foto Vera Cammaer).jpg,Fabuleus jongentheater,Ego Sublimo,1998-1999,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Fabuleus jongentheater/98-99/Ego Sublimo/Untitled-6(foto Vera Cammaer).jpg,Fabuleus jongentheater,Ego Sublimo,1998-1999,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Fabuleus jongentheater/98-99/Het proces/Untitled-1(foto Vera Cammaer).jpg,Fabuleus jongentheater,Het proces,1998-1999,,Q17428187,Q57507037,434273
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Fabuleus jongentheater/98-99/Het proces/Untitled-2(foto Vera Cammaer).jpg,Fabuleus jongentheater,Het proces,1998-1999,,Q17428187,Q57507037,434273
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Fabuleus jongentheater/98-99/Het proces/Untitled-3(foto Vera Cammaer).jpg,Fabuleus jongentheater,Het proces,1998-1999,,Q17428187,Q57507037,434273
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Fakkeltheater/86-87/De verkeerde dood/Untitled-1(foto onbekend).jpg,Fakkeltheater,De verkeerde dood,1986-1987,,Q1952737,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Fakkeltheater/86-87/Het Vincent-effect/Untitled-1(foto onbekend).jpg,Fakkeltheater,Het Vincent-effect,1986-1987,,Q1952737,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Fakkeltheater/86-87/Rijen en vrijen/Untitled-1(foto onbekend).jpg,Fakkeltheater,Rijen en vrijen,1986-1987,,Q1952737,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Fakkeltheater/87-88/Privé voor twee/Untitled-1(foto onbekend).jpg,Fakkeltheater,Privé voor twee,1987-1988,,Q1952737,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Fakkeltheater/87-88/Slampompers/Untitled-1(foto onbekend).jpg,Fakkeltheater,Slampompers,1987-1988,,Q1952737,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Fakkeltheater/88-89/92-93/knock-out/Untitled-1(foto onbekend).jpg,Fakkeltheater,92-93,1988-1989,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Fakkeltheater/92-93/Smack/Untitled-1(foto onbekend).jpg,Fakkeltheater,Smack,1992-1993,,Q1952737,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Fakkeltheater/95-96/Junkiesbleus/Untitled-1(ftoto onbeknd).jpg,Fakkeltheater,Junkiesbleus,1995-1996,,Q1952737,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Fakkeltheater/97-98/Trainspotting/Untitled-1(foto onbekend).jpg,Fakkeltheater,Trainspotting,1997-1998,,Q1952737,Q57509818,431513
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Fakkeltheater/onbekend/De dienstshift/Untitled-1(foto onbekend).jpg,Fakkeltheater,De dienstshift,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Fakkeltheater/onbekend/De liefde van een terrorist/Untitled-1(foto onbekend).jpg,Fakkeltheater,De liefde van een terrorist,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Fakkeltheater/onbekend/De liefde van een terrorist/Untitled-2(foto onbekend).jpg,Fakkeltheater,De liefde van een terrorist,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Fakkeltheater/onbekend/Het verhaal van een flick/Untitled-1(foto onbekend).jpg,Fakkeltheater,Het verhaal van een flick,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Fakkeltheater/onbekend/Het verhaal van een flick/Untitled-2(foto onbekend).jpg,Fakkeltheater,Het verhaal van een flick,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Fakkeltheater/onbekend/Het verloren kind/Untitled-1(foto onbekend).jpg,Fakkeltheater,Het verloren kind,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Fakkeltheater/onbekend/Het verloren kind/Untitled-2(foto onbekend).jpg,Fakkeltheater,Het verloren kind,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Fakkeltheater/onbekend/Het verloren kind/Untitled-3(foto onbekend).jpg,Fakkeltheater,Het verloren kind,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Fakkeltheater/onbekend/turks bad/Untitled-1(foto onbekend).jpg,Fakkeltheater,turks bad,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Fakkeltheater/onbekend/turks bad/Untitled-2(foto onbekend).jpg,Fakkeltheater,turks bad,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Fakkeltheater/onbekend/Wij gaan naar benidorm/Untitled-1(foto onbekend).jpg,Fakkeltheater,Wij gaan naar benidorm,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Fakkeltheater/onbekend/Wij gaan naar benidorm/Untitled-2(foto onbekend).jpg,Fakkeltheater,Wij gaan naar benidorm,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Fanny Peeters/87-88/Contouren/Untitled-1(foto Bettie Grim).jpg,Fanny Peeters,Contouren,1987-1988,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Fanny Peeters/87-88/Kwik & Flupke/Untitled-1(foto onbekend).jpg,Fanny Peeters,Kwik & Flupke,1987-1988,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Fanny Peeters/87-88/Opschudding in/Untitled-1(foto Bettie Grim)).jpg,Fanny Peeters,Opschudding in,1987-1988,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Festival d'avignon/Hamlet/Untitled-1(foto Geores Méran).jpg,Festival d'avignon,Hamlet,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Festival De Beweeging VZW/festivalbeeld-3(foto Joost Vyncke).jpg,Festival De Beweeging VZW,,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Festival De Beweeging VZW/Logofestival-1(foto Dorp & Dal).jpg,Festival De Beweeging VZW,,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Festival De Beweeging VZW/The Aksident Brothers the pickpockets-3(foto Paul Verstreken).jpg,Festival De Beweeging VZW,,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Festival De Beweeging VZW/Tranatlantic-2(foto Chris Nash).jpg,Festival De Beweeging VZW,,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Festival De Beweeging VZW/93-94/La danse des pas perdus/Untitled-1(foto onbekend).jpg,Festival De Beweeging VZW,La danse des pas perdus,1993-1994,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Festival De Beweeging VZW/93-94/Ophelia's/Untitled-1(foto onbekend).jpg,Festival De Beweeging VZW,Ophelia's,1993-1994,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Festival De Beweeging VZW/La danse du lion/Untitled-1(foto onbekend).jpg,Festival De Beweeging VZW,La danse du lion,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Figurentheater/Black out/Untitled-1(foto onbekend).jpg,Figurentheater,Black out,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Figurentheater/Black out/Untitled-10(foto onbekend).jpg,Figurentheater,Black out,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Figurentheater/Black out/Untitled-11(foto onbekend).jpg,Figurentheater,Black out,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Figurentheater/Black out/Untitled-12(foto onbekend).jpg,Figurentheater,Black out,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Figurentheater/Black out/Untitled-13(foto onbekend).jpg,Figurentheater,Black out,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Figurentheater/Black out/Untitled-14(foto onbekend).jpg,Figurentheater,Black out,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Figurentheater/Black out/Untitled-15(foto onbekend).jpg,Figurentheater,Black out,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Figurentheater/Black out/Untitled-16(foto onbekend).jpg,Figurentheater,Black out,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Figurentheater/Black out/Untitled-2(foto onbekend).jpg,Figurentheater,Black out,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Figurentheater/Black out/Untitled-3(foto onbekend)jpg.jpg,Figurentheater,Black out,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Figurentheater/Black out/Untitled-4(foto onbekend).jpg,Figurentheater,Black out,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Figurentheater/Black out/Untitled-5(foto onbekend).jpg,Figurentheater,Black out,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Figurentheater/Black out/Untitled-6(foto onbekend).jpg,Figurentheater,Black out,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Figurentheater/Black out/Untitled-7(foto onbekend).jpg,Figurentheater,Black out,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Figurentheater/Black out/Untitled-8(foto onbekend).jpg,Figurentheater,Black out,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Figurentheater/Black out/Untitled-9(foto onbekend).jpg,Figurentheater,Black out,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Flanders Operastudio Vlaanderen/2000-2001/La jolie Parfumeuse/Untitled-1(foto Herman Ricour).jpg,Flanders Operastudio Vlaanderen,La jolie Parfumeuse,2000-2001,,Q2500784,Q57509097,435324
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Flanders Operastudio Vlaanderen/2000-2001/La jolie Parfumeuse/Untitled-2(foto Herman Ricour).jpg,Flanders Operastudio Vlaanderen,La jolie Parfumeuse,2000-2001,,Q2500784,Q57509097,435324
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Flanders Operastudio Vlaanderen/2000-2001/La jolie Parfumeuse/Untitled-3(foto Herman Rcour).jpg,Flanders Operastudio Vlaanderen,La jolie Parfumeuse,2000-2001,,Q2500784,Q57509097,435324
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Flanders Operastudio Vlaanderen/2000-2001/La jolie Parfumeuse/Untitled-4(foto Herman Ricour).jpg,Flanders Operastudio Vlaanderen,La jolie Parfumeuse,2000-2001,,Q2500784,Q57509097,435324
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Franck Degruyter/96-97/Het ei van oom Trotter/Untitled-1(foto onbekend).jpg,Franck Degruyter,Het ei van oom Trotter,1996-1997,,Q54804212,Q57506703,431739
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Franck Degruyter/97-98/file/Untitled-1(foto onbekend).jpg,Franck Degruyter,file,1997-1998,,Q54804212,Q57511388,431515
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Franck Vranckx/87-88/Untitled-1(foto Danny Willems).jpg,Franck Vranckx,,1987-1988,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Félicette Chazerand/Untitled-1(foto onbekend).jpg,Félicette Chazerand,,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Félicette Chazerand/Untitled-10(foto onbekend).jpg,Félicette Chazerand,,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Félicette Chazerand/Untitled-11(foto onbekend).jpg,Félicette Chazerand,,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Félicette Chazerand/Untitled-12(foto onbekend).jpg,Félicette Chazerand,,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Félicette Chazerand/Untitled-2(foto onbekend).jpg,Félicette Chazerand,,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Félicette Chazerand/Untitled-3(foto onbekend).jpg,Félicette Chazerand,,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Félicette Chazerand/Untitled-4(foto onbekend).jpg,Félicette Chazerand,,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Félicette Chazerand/Untitled-5(foto onbekend).jpg,Félicette Chazerand,,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Félicette Chazerand/Untitled-6(foto onbekend).jpg,Félicette Chazerand,,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Félicette Chazerand/Untitled-8(foto onbeknd).jpg,Félicette Chazerand,,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Félicette Chazerand/Untitled-9(foto onbekend).jpg,Félicette Chazerand,,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Félicette Chazerand/Danseuse et chorégraphe/Untitled-1(foto onbekend).jpg,Félicette Chazerand,Danseuse et chorégraphe,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Félicette Chazerand/Solo Seul/Untitled-1(foto J-M Bodson).jpg,Félicette Chazerand,Solo Seul,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Félicette Chazerand/Solo Seul/Untitled-2(foto J;M Bodson).jpg,Félicette Chazerand,Solo Seul,,,,,
