path,organisatie,productie,seizoen,persoon,gezelschap_QID,productie_QID,kunstenpunt_ID
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/BACKUP VTi fotocollectie digital born/0_Archief/Het Toneelhuis_het-toneelhuis/2003-2004/Het Sprookjesbordeel/Dimitri Van Zeebroeck_het-sprookjesbordeel/dimitrivanzeebroeck3.jpg,Het Toneelhuis,Het Sprookjesbordeel,2003-2004,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/BACKUP VTi fotocollectie digital born/0_Archief/Het Toneelhuis_het-toneelhuis/2003-2004/Het Sprookjesbordeel/Dimitri Van Zeebroeck_het-sprookjesbordeel/dimitrivanzeebroeck1.jpg,Het Toneelhuis,Het Sprookjesbordeel,2003-2004,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/BACKUP VTi fotocollectie digital born/0_Archief/Het Toneelhuis_het-toneelhuis/2003-2004/Het Sprookjesbordeel/Dimitri Van Zeebroeck_het-sprookjesbordeel/dimitrivanzeebroeck5.jpg,Het Toneelhuis,Het Sprookjesbordeel,2003-2004,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/BACKUP VTi fotocollectie digital born/0_Archief/Het Toneelhuis_het-toneelhuis/2003-2004/Het Sprookjesbordeel/Dimitri Van Zeebroeck_het-sprookjesbordeel/dimitrivanzeebroeck2.jpg,Het Toneelhuis,Het Sprookjesbordeel,2003-2004,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/BACKUP VTi fotocollectie digital born/0_Archief/Het Toneelhuis_het-toneelhuis/2003-2004/Macbeth/Phile Deprez_macbeth-10/M-06.jpg,Het Toneelhuis,Macbeth,2003-2004,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/BACKUP VTi fotocollectie digital born/0_Archief/Het Toneelhuis_het-toneelhuis/2003-2004/Oom Vanja/Phile Deprez_oom-vanja-2/regen2.jpg,Het Toneelhuis,Oom Vanja,2003-2004,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/BACKUP VTi fotocollectie digital born/0_Archief/Het Toneelhuis_het-toneelhuis/2003-2004/Oom Vanja/Phile Deprez_oom-vanja-2/hans_gilda_dansII.jpg,Het Toneelhuis,Oom Vanja,2003-2004,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/BACKUP VTi fotocollectie digital born/0_Archief/Het Toneelhuis_het-toneelhuis/2003-2004/Oom Vanja/Phile Deprez_oom-vanja-2/regen.jpg,Het Toneelhuis,Oom Vanja,2003-2004,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/BACKUP VTi fotocollectie digital born/0_Archief/Het Toneelhuis_het-toneelhuis/2003-2004/Oom Vanja/Phile Deprez_oom-vanja-2/ruth_regen.jpg,Het Toneelhuis,Oom Vanja,2003-2004,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/BACKUP VTi fotocollectie digital born/0_Archief/Het Toneelhuis_het-toneelhuis/2003-2004/Oom Vanja/Phile Deprez_oom-vanja-2/tom_ruth.jpg,Het Toneelhuis,Oom Vanja,2003-2004,,,,
